protocol,address,total_figment_staked,total_staked
AXL,axelar120zgt5384kj4qlrv5z7ag38efgelyfykr6xnjf,"1,399,400","1,399,400"
INJ,inj19u2t52ee57yjljz0804cu5f9pwm3yeny37hx4q,"22,555.86251221","65,124.84846388"
