protocol,address,amount,date
AXL,axelar120zgt5384kj4qlrv5z7ag38efgelyfykr6xnjf,9660870969,01-28-2025
AXL,axelar120zgt5384kj4qlrv5z7ag38efgelyfykr6xnjf,4067270214,02-12-2025
